title,reference_no,closing_date,opening_date,url,organisation,tender_id,tender_type,description,value,location,published_date,bid_opening_date,bid_submission_end,pdf_files
,EE/CD-IX/NIT/06/2026-27,23-Apr-2026 03:00 PM,23-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SK%2BdKA4SzzFWOUyPx0p%2B%2Fsg%3D%3D,,,,,,,,,,
,EE/CD-IX/NIT/05/2026-27,23-Apr-2026 03:00 PM,23-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SBLxZ%2BlBjLwM5txtJUpI4pA%3D%3D,,,,,,,,,,
,EE/CD-II/ACS/W-09/2026-27,20-Apr-2026 03:00 PM,20-Apr-2026 03:15 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S8eHPpvvcZctv%2B2shu8qMmw%3D%3D,,,,,,,,,,
,01/EE/CBMD M-323/PWD/2026-27,21-Apr-2026 03:00 PM,21-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SrOxwjrlA6i09gk75HaEDFA%3D%3D,,,,,,,,,,
,03/EE/CBMD M-323/PWD/2026-27,21-Apr-2026 03:00 PM,21-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Sk3%2FOaHz7vVJlfYaNW2drmA%3D%3D,,,,,,,,,,
,02/EE/CBMD M-323/PWD/2026-27,21-Apr-2026 03:00 PM,21-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S2x8ASkgKsTdRxfZP911QHg%3D%3D,,,,,,,,,,
,05/NIT/CE(EAST)M/PWD/2026-27,27-Apr-2026 03:00 PM,27-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S%2B703LiOey6Y4w7PY4xY8xg%3D%3D,,,,,,,,,,
,116/EE/CBMD M-323/PWD/2025-26,20-Apr-2026 03:00 PM,20-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SPE4%2FOHU3kl1DNEmghAGxhQ%3D%3D,,,,,,,,,,
,04/EE/PWD/SER-1/2026-27,20-Apr-2026 03:00 PM,20-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Sxe4eROjXRkX3l0LAG%2BTzhA%3D%3D,,,,,,,,,,
,04/EE/NBD/PWD/2026-27,20-Apr-2026 03:00 PM,20-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SqTV8UVr5A7a7EAqH6HpMvw%3D%3D,,,,,,,,,,
BEL,,04/000008/2026,17-Apr-2026 03:00 PM,20-Apr-2026 11:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SE3Fnw20JXTrTwSJ3Nkwaww%3D%3D,,,,,,,,,,
BEL,,BG/ES/PUR/1184/2026/01,21-Apr-2026 04:00 PM,22-Apr-2026 10:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Sw%2BT4JbKGb2Pirr48ncv0Ig%3D%3D,,,,,,,,,,
BEL,,2026_BELGAD_ES_02042026_001,16-Apr-2026 10:00 AM,16-Apr-2026 03:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Sr8VKlo6rKJL31lf2m3KPhw%3D%3D,,,,,,,,,,
BEL,,01/000028/2026/BEL PN,15-Apr-2026 02:00 PM,16-Apr-2026 02:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Sx%2F%2BNFU4bCQ2xETNQMnAP9w%3D%3D,,,,,,,,,,
GRSE,,CSB/PK/MPV/OT/Lighting/ 208/ET-3433,04-May-2026 12:00 PM,05-May-2026 02:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SEAzHn55NfhrxIWO6tamLJA%3D%3D,,,,,,,,,,
GRSE,,SCC/AKD/NIC/LT/ND/ Boat/012/ET-3432,16-Apr-2026 12:00 PM,16-Apr-2026 03:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=ShmvGzeqdre%2BVp1nKpYIQGw%3D%3D,,,,,,,,,,
GRSE,,SCC/AKD/OT(Web)/TY LIGHTING/310/ET-3431,30-Apr-2026 12:00 PM,30-Apr-2026 02:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SXNkCqafW1kwHLXfqdOdPIw%3D%3D,,,,,,,,,,
GRSE,,NCM/IMP/ADA/ST/Green Passport/ET-3428,16-Apr-2026 12:00 PM,16-Apr-2026 04:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SDuqqNJeV5BiOdMeuz6M7NA%3D%3D,,,,,,,,,,
GRSE,,NCM/IMP/RKS/LT/ SPECTROPHOTOMETER/ORV/ET-3427,23-Apr-2026 12:00 PM,25-Apr-2026 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S%2Fl%2F1JrW4ZZSlp7v%2BDjiNbw%3D%3D,,,,,,,,,,
GRSE,,NCM/IMP/RKS/LT/WAVE RECORDER/ORV/ET-3426,23-Apr-2026 12:00 PM,25-Apr-2026 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SGlcI9q9aOWZ87YpD9ZRszg%3D%3D,,,,,,,,,,
GRSE,,SCC/AKD/61P/Design Firms/12/EOI-050,23-Apr-2026 06:00 PM,24-Apr-2026 03:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SaOzJamoT0WPs%2FTxHbShk1A%3D%3D,,,,,,,,,,
GRSE,,NCM/IMP/RKS/ST/GEL APPARATUS/ORV/ET-3425,21-Apr-2026 12:00 PM,23-Apr-2026 02:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SbMOOdAehhfaVP5HIoxzLLA%3D%3D,,,,,,,,,,
GRSE,,CSB/PK/MPV/OT/NLCS/ 205/RA-3423,22-Apr-2026 12:00 PM,23-Apr-2026 02:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SLBFhqLhaWNh1A8HzCUuF1g%3D%3D,,,,,,,,,,
GRSE,,NCM/IMP/RKS/ST/ SALINOMETER/ORV/ET-3424,21-Apr-2026 12:00 PM,23-Apr-2026 02:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SmEg9G8L84R9cIrco8OWK9A%3D%3D,,,,,,,,,,
